id,name,text,flag,attachement,score,contest_id,category_id,created_at,updated_at,description
1,GTA,,wiw,https://www.dropbox.com/s/kwdhjydl9rhaqh3/GTA.png?dl=0,90,1,2,2016-12-14 15:43:42 +0100,2016-12-14 15:43:42 +0100,none
2,FamousB,,dadada,https://www.dropbox.com/s/gjxhsqh5ayt95o0/FamousG.html?dl=0,30,1,1,2016-12-14 15:45:02 +0100,2016-12-14 15:45:02 +0100,none
3,hotel_chall,,Mundelene Voosloo,https://www.dropbox.com/s/0og38igti08olfb/crypto-hotel.zip?dl=0,30,1,3,2016-12-14 15:47:03 +0100,2016-12-14 15:47:03 +0100,none
4,Desrever,,The imitation game,https://www.dropbox.com/s/v9wz72kv6h9rxv0/desrever.mp3?dl=0,60,1,5,2016-12-14 15:48:32 +0100,2016-12-14 15:48:32 +0100,none
5,tetris,,bo3bo3,https://www.dropbox.com/s/s539cwf3fap9oty/tetris%20lovers.jpg?dl=0,30,1,2,2016-12-14 15:49:40 +0100,2016-12-14 15:49:40 +0100,none
6,extraction game,,Kenopsia,https://www.dropbox.com/s/eruh4mc07girail/extraction%20game.jpg?dl=0,90,1,3,2016-12-14 15:51:06 +0100,2016-12-14 19:01:32 +0100,"Hint: There's nothing here, but there's something inside"
7,wireshark it!,,Sn1ff1nG_1s_G00d!,https://www.dropbox.com/s/bsqp8hvn53wkff1/wireshark_it%21.pcapng?dl=0,60,1,7,2016-12-14 16:23:21 +0100,2016-12-14 16:23:21 +0100,none
8,Bot find it first,,California,https://www.dropbox.com/s/7jx061iusdrqdrm/Bot_find_it_first.jpg?dl=0,150,1,2,2016-12-14 16:27:45 +0100,2016-12-14 16:27:45 +0100,none
9,metapower,,Opia,https://www.dropbox.com/s/x06wduml4k38tu1/metapower.jpg?dl=0,60,1,3,2016-12-14 16:29:26 +0100,2016-12-14 16:29:26 +0100,none
10,Ã” Borel,,Berlin,https://www.dropbox.com/s/4mszhgp0wlu3qj5/O_Borel.zip?dl=0,200,1,5,2016-12-14 16:31:10 +0100,2016-12-14 16:31:10 +0100,none
11,Hell is near,,fire,https://www.dropbox.com/s/xre49ixpozqewc0/Hell%20is%20near.zip?dl=0,60,1,1,2016-12-14 16:32:58 +0100,2016-12-14 16:32:58 +0100,none
12,the present,,fourteenth,https://www.dropbox.com/s/6vlu9ncbuec8uhz/present.zip?dl=0,60,1,1,2016-12-14 16:34:14 +0100,2016-12-14 16:34:14 +0100,none
13,call me maybe,,Hacker Space Bardo,https://www.dropbox.com/s/3biezzjho4rty2g/callme.txt?dl=0,40,1,2,2016-12-14 16:36:40 +0100,2016-12-14 16:36:40 +0100,none
14,Unzipme,,garymckinnon,https://www.dropbox.com/s/b6qnxlk9ay12cop/unzipme.zip?dl=0,240,1,5,2016-12-14 16:43:26 +0100,2016-12-14 16:43:26 +0100,none
15,extraction game 2.0,,Tabarka,https://www.dropbox.com/s/3f4bt6nnfm0wvbc/Extraction_Game_2.0.jpg?dl=0,90,1,3,2016-12-14 16:46:06 +0100,2016-12-14 19:02:10 +0100,"You've got the power, the power of metadata"
16,around the world in 8 pictures,,buenosaires,https://www.dropbox.com/s/ptg7hort9m0zvpc/travel_the_world_in_eight_pictures.zip?dl=0,150,1,5,2016-12-14 16:50:27 +0100,2016-12-14 16:50:27 +0100,none
17,cisco_pass,,security,https://www.dropbox.com/s/m0m6x0ojkqba13x/cisco_pass.conf?dl=0,120,1,7,2016-12-14 16:55:47 +0100,2016-12-14 16:55:47 +0100,none
18,absolute disorder,,take beer,https://www.dropbox.com/s/2qc7wid8on0x2us/absolute_disorder.txt?dl=0,15,1,2,2016-12-14 16:57:11 +0100,2016-12-14 16:57:11 +0100,none
19,simple,,krombla,https://www.dropbox.com/s/zdk0fict1ryg63w/simple.txt?dl=0,15,1,2,2016-12-14 17:01:02 +0100,2016-12-14 17:01:02 +0100,none
20,log file,,9h0rb3l,https://www.dropbox.com/s/rwi9x9nrxcgyusy/log_file.zip?dl=0,300,1,5,2016-12-14 17:04:06 +0100,2016-12-14 17:04:06 +0100,none
21,bottiBot,,striveforgreatness,https://www.dropbox.com/s/qgha1ch7bkknqmc/botiBot.zip?dl=0,300,1,8,2016-12-14 17:10:26 +0100,2016-12-14 17:10:26 +0100,none
22,breaktime,,breaktime,https://www.youtube.com/watch?v=dhAC8NAX0x8,1,1,1,2016-12-14 17:24:24 +0100,2016-12-14 17:24:24 +0100,"the flag is ""breaktime"""
23,King Of The North,,welcometocastleblack,"",90,1,2,2016-12-14 17:28:34 +0100,2016-12-14 18:48:03 +0100,"Hint : And now your watch begins.

To solve this challenge you must be : PATIENT OBJECTIVE LOYAL YOUTHFUL BRAVE IMMORAL UNSELFISH STRONG and you need a square

first first

3324222344 22114423154243 113314 333452 3254 5211441323 121522243343 2444 4323113131 333444 153314 4533442431 3254 1415114423 24 4323113131 44112515 3334 52242115 23343114 3334 3111331443 211144231542 3334 1323243114421533 24 4323113131 52151142 3334 134234523343 113314 522433 3334 2231344254 21311122 2443 5215311334321544341311434431151231111325 24 4323113131 31245115 113314 142415 1144 3254 35344344 24 1132 442315 4352344214 2433 442315 1411422533154343 24 1132 442315 52114413231542 3433 442315 5211313143 24 1132 442315 432324153114 44231144 224511421443 442315 421511313243 3421 321533 24 353115142215 3254 31242115 113314 2334333442 4434 442315 332422234443 5211441323 213442 44232443 3324222344 113314 113131 442315 332422234443 4434 13343215"
24,needle in a haystack,,Mr.RoBot,https://www.dropbox.com/s/1t18jsvr2235enf/needle_in_a_haystack.jpg?dl=0,150,1,3,2016-12-14 17:31:52 +0100,2016-12-14 17:31:52 +0100,none
25,ensi_drive,,62c3ae921305d03a239ee82986440b6850026e14b13f8681e72affc179901d46,https://www.dropbox.com/s/g0p202y8r8qvb0m/ENSI_drive.tar.7z?dl=0,400,1,5,2016-12-14 17:37:23 +0100,2016-12-14 17:37:23 +0100,none
26,G0d3l,,hacku,https://www.dropbox.com/s/b9e0g9tsbpm5rpa/god.html?dl=0,150,1,1,2016-12-14 17:40:42 +0100,2016-12-14 17:40:42 +0100,Easy
27,Go to church,,(2<FPZ,https://www.dropbox.com/s/0dt5frm3bug0k9e/Go-to-church.png?dl=0,50,1,3,2016-12-14 17:55:53 +0100,2016-12-14 18:16:20 +0100,Hint: ask monks then ascii it :)
28,Deep Program,,OverHack,https://www.dropbox.com/s/ot2s813inknacqn/ypcsich.exe?dl=0,50,1,6,2016-12-14 18:07:23 +0100,2016-12-14 18:07:23 +0100,Hint: Look everywhere in the file to find the correct key
29,Reverse it,,GuessWhoIam,https://www.dropbox.com/s/a1uz42d3ifbbyta/ch1?dl=0,30,1,4,2016-12-14 18:10:00 +0100,2016-12-14 18:10:00 +0100,none
30,Broken Flag,,fuckwindows,https://www.dropbox.com/s/on9jlvg1srxpbs0/a.exe?dl=0,90,1,4,2016-12-14 18:11:18 +0100,2016-12-14 18:11:18 +0100,Hint: Cheat it
31,Incomplete,,122672,https://www.dropbox.com/s/mbs3z43cp0r1dkb/incomplete.c?dl=0,200,1,6,2016-12-14 18:43:06 +0100,2016-12-14 18:43:06 +0100,I speak in other bases.
